# data format logged from lagr .. this is local pose info
# timestamp  speed  X   Y   Z   roll  pitch   yaw
1268622017.818052 0.453984 -69.714366 -14.760421 0.136747 -0.045234 0.000450 2.708841
1268622017.868045 0.452216 -69.734818 -14.750913 0.136735 -0.046321 0.000578 2.704461
1268622017.918076 0.455442 -69.755595 -14.741153 0.136752 -0.047991 -0.001947 2.701140
1268622017.968051 0.458723 -69.776460 -14.731269 0.136816 -0.049718 -0.003115 2.697911
1268622018.018054 0.461489 -69.797416 -14.721266 0.136893 -0.049807 -0.003468 2.694779
1268622018.068051 0.464163 -69.818461 -14.711139 0.136988 -0.048676 -0.004449 2.691550
1268622018.118048 0.466343 -69.839469 -14.700936 0.137095 -0.047977 -0.004467 2.687866
1268622018.168047 0.467223 -69.860324 -14.690724 0.137199 -0.049134 -0.004680 2.685207
1268622018.218054 0.469083 -69.881396 -14.680348 0.137313 -0.050773 -0.004994 2.683181
1268622018.268044 0.474441 -69.902681 -14.669801 0.137439 -0.052151 -0.005430 2.680386
1268622018.318055 0.484395 -69.924414 -14.658957 0.137566 -0.053062 -0.005062 2.677378
1268622018.368050 0.491857 -69.946352 -14.647923 0.137677 -0.052726 -0.003891 2.674317
1268622018.418058 0.502238 -69.968730 -14.636578 0.137745 -0.052397 -0.001871 2.671069
1268622018.468072 0.511209 -69.991547 -14.624918 0.137789 -0.050943 -0.001619 2.667665
1268622018.518074 0.522482 -70.014800 -14.612939 0.137829 -0.049791 -0.001474 2.664649
1268622018.568043 0.531505 -70.038492 -14.600646 0.137862 -0.049939 -0.001261 2.661826
1268622018.618046 0.540656 -70.062621 -14.588037 0.137889 -0.050110 -0.000625 2.658591
1268622018.668040 0.552794 -70.087065 -14.575166 0.137892 -0.050177 0.000238 2.655580
1268622018.718060 0.553158 -70.111467 -14.562217 0.137878 -0.050077 0.000628 2.652438
1268622018.768047 0.558691 -70.136184 -14.549005 0.137862 -0.050163 0.000266 2.649381
1268622018.818052 0.564443 -70.161092 -14.535586 0.137878 -0.049636 -0.001186 2.646096
1268622018.868051 0.564864 -70.185953 -14.522081 0.137924 -0.049386 -0.001857 2.642981
1268622018.918052 0.571995 -70.211240 -14.508242 0.137955 -0.049198 -0.000053 2.639117
1268622018.968048 0.572416 -70.236363 -14.494381 0.137933 -0.050255 0.001194 2.636417
1268622019.018067 0.573377 -70.261448 -14.480450 0.137918 -0.049975 -0.000039 2.633117
1268622019.068047 0.576992 -70.286705 -14.466281 0.137938 -0.049256 -0.001040 2.628030
1268622019.118052 0.582529 -70.312127 -14.451861 0.137978 -0.049707 -0.001244 2.624143
1268622019.168052 0.578251 -70.337274 -14.437498 0.138008 -0.051498 -0.000719 2.621657
1268622019.218051 0.581732 -70.362494 -14.422993 0.138034 -0.051411 -0.001276 2.618196
1268622019.268050 0.574858 -70.387204 -14.408673 0.138098 -0.049891 -0.002808 2.614631
1268622019.318050 0.572210 -70.411736 -14.394313 0.138198 -0.049539 -0.004262 2.610177
1268622019.368069 0.564015 -70.435968 -14.379971 0.138340 -0.049818 -0.005313 2.604850
1268622019.418047 0.567270 -70.460357 -14.365369 0.138494 -0.050842 -0.005410 2.600512
1268622019.468051 0.570104 -70.484810 -14.350615 0.138660 -0.052869 -0.006245 2.597218
1268622019.518056 0.570538 -70.509329 -14.335712 0.138828 -0.052124 -0.005392 2.593992
1268622019.568070 0.579838 -70.534126 -14.320496 0.138965 -0.051072 -0.004196 2.589119
1268622019.618053 0.577409 -70.558620 -14.305297 0.139057 -0.050725 -0.002485 2.584403
1268622019.668055 0.584362 -70.583387 -14.289779 0.139127 -0.052222 -0.002761 2.579942
1268622019.718059 0.586704 -70.608195 -14.274077 0.139211 -0.053977 -0.002655 2.575552
1268622019.768047 0.585863 -70.632932 -14.258262 0.139265 -0.053707 -0.001431 2.570575
1268622019.818047 0.586536 -70.657590 -14.242324 0.139281 -0.053158 0.000057 2.565791
1268622019.868044 0.575897 -70.681614 -14.226635 0.139262 -0.051927 0.000878 2.560727
1268622019.918050 0.572367 -70.705546 -14.210807 0.139250 -0.050904 -0.000110 2.555071
1268622019.968052 0.582500 -70.729949 -14.194481 0.139276 -0.050781 -0.001203 2.549540
1268622020.018057 0.575285 -70.753705 -14.178389 0.139294 -0.052218 0.000215 2.543950
1268622020.068052 0.577331 -70.777487 -14.162098 0.139263 -0.053547 0.000924 2.538592
1268622020.118071 0.578757 -70.801281 -14.145591 0.139242 -0.052085 0.000736 2.531861
1268622020.168058 0.580634 -70.824953 -14.128907 0.139193 -0.050748 0.002191 2.523749
1268622020.218043 0.577021 -70.848370 -14.112096 0.139122 -0.049965 0.002463 2.515823
